Indian Port,Cush,BE_NO,BE_DATE,CTH,ITEM,GRADE,QTY,UQC,UNIT_VALUE_INR,InvoiceUnitPriceFC,Invoice_Currency,TOTAL_VALUE,UPI,Total_Duty_Paid,IEC,IMPORTER,ADDRESS,CITY,Supp_Name,Supp_Address,CHA_NAME,Port_Of_Shipment,COUNTRY
Jnpt,Innsa1,2017336,2025-05-13,29415000,Azithromycin Ip/Usp Azithromycin Ip/Usp,USP,551.31,Kg,11729.42,137,Usd,11729422,,2373448.5,0305082507,General Import Co India Pvt Ltd,501-502 Amba Sadan Linking Road Khar,"Mumbai,Maharashtra",Brilliant Pharmaceuticals Ltd,"Office,F,32/F, Plaza 88No.88 Yeung Uk Road, Tsuen Wan,Nt, Hong Kong Sdnf China",29,Shanghai,China
Bombay Air Cargo,Inbom4,0,2025-12-21,29419090,Azithromycin Ip/Usp (License Number : Il/Bd-008368 Bd-709 Dt. 25.04.2023)Azithromycin Ip/Usp (License Number : Il/Bd-008368 Bd-709 Dt,USP,591.65,Kg,12957.5,142,Usd,12957500,,2621950.25,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane, Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co.,Ltd.,No.6,Weiwu Road, Hangzhou Gulf, Sha Ngyu Industrial Zone, Zhejiang, Chi Na Chinachina",29,Shanghai - Pu Dong,China
Jnpt,Innsa1,0,2025-12-24,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,600,Kg,11226.49,123,Usd,59219724,,16424590,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co. Ltd.Pacific Road No.1Nuanquan Economic Zone Helan, County Yinchuan, Ningxi A, China. , , China Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-12-24,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,600,Kg,11226.49,123,Usd,67358928,,18681998,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co., Ltd.Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-12-24,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,600,Kg,11226.49,123,Usd,45467276,,12610349,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co., Ltd.Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-12-24,29419090,Azithromycin Ip/Usp Azithromycin Ip/Usp,USP,600,Kg,12957.5,142,Usd,25915000,,5243900.5,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane, Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co., Ltd.No.6,Weiwu Road, Hangzhou Gulf, Sha Ngyu Economic And Technological Dev Elopment Zone, Zhejiang,China Chinachina",29,Shanghai,China
Chennai,Inmaa1,0,2025-12-22,29419090,Azithromycin Usp Chemical,USP,600,Kg,15101.88,165.5,Usd,16612062,,0,2588000011,Aurobindo Pharma Ltd,"Plot No.2, Maitrivihar, Behind Maitrivanam, Ameerpet,",Hyderabad/Andhra Pradesh,Sinobright Pharmaceutical Industries Ltd,"Sinobright Pharmaceutical Industries Limitedoffice F, 32/F Plaza 88 No 88 Yeung Uk Road Tsuen Wan,Nt, Hong Kong Ch Ina, , China Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-12-24,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,603.01,Kg,11226.49,123,Usd,58377736,,16191066,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co. Ltd.Pacific Road No.1Nuanquan Economic Zone Helan, County Yinchuan, Ningxi A, China. , , China Chinachina",29,Shanghai,China
Jnpt,Innsa1,2303884,2025-05-27,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,604.49,Kg,10674.43,123.5,Usd,42163988,,11694182,0388114533,Mehta Api Pvt Ltd,315-318 Janki Centre Pl No.29 Shah Indl Est. Off Veera D. Rd Andheri-W,"Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,China
Jnpt,Innsa1,9924478,2025-05-07,29419090,Azithromycin Ip Azithromycin Ip,IP,605,Kg,11724.44,137,Usd,46897748,,9489759,0395065895,G C Chemie Pharmie Ltd,5/C Shree Laxmi Industraial Estate New Link Road Andheri (W),"Mumbai, Maharashtra",Brilliant Pharmaceuticals Ltd,"Office F, 32/F,Plaza 88 No. 88 Yeung Uk Road Tsuen Wan, Nt, Hong Kong China",29,Shanghai,China
Jnpt,Innsa1,7901665,2025-01-21,29419090,Azithromycin Ip Usp 43 Azithromycin Ip Usp 43,USP,609,Kg,11845.6,136,Usd,11845600,,0,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane,,Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China",29,Shanghai,China
Jnpt,Innsa1,7901665,2025-01-21,29419090,"Azithromycin Ip Usp 43 (Lic. No. Il/Bd-000683 Bd-1186 Dt. 01-07-22)""Azithromycin (Lic. No. Il/Bd-000683 Bd-1186 Dt",USP,640,Kg,11845.6,136,Usd,11845600,,2396957.25,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane,,Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China",29,Shanghai,China
Jnpt,Innsa1,7580514,2025-01-02,29419090,Azithromycin Ip/Ep (Lic No. Il/Bd-000683 Bd-1186 Dt. 01-Jul-2022)Azithromycin Ip/Ep,EP,650,Kg,12892.5,150,Usd,6446250,,1304398.75,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane,,Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China China China",29,Shanghai,China
Jnpt,Innsa1,7667090,2025-01-08,29419090,Azithromycin Ip Usp 43 Azithromycin Ip Usp 43,USP,662.35,Kg,12124,140,Usd,24248000,,0,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane,,Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,"No.6 Weiwu Road, Hangzhou Gulf, Shangyu Economic & Technological De Velopment,Zone,Zhejiang, China",29,Shanghai,China
Bangalore,Inblr4,9735303,2025-04-26,29419090,Y0000307 Azithromycin Impurity A [10Mg] [For Further Sale] Y0000307 Azithromycin Impurity A [10Mg] [For Further Sale],USP,1,Nos,9306.76,9306.76,Inr,9306.76,,2581.2,0703003453,Sigma Aldrich Chemicals Pvt Ltd,Plot No 12 Bommasandra Jigani Link Road Indl Area Anekal Tq,Bangalore,Sigma Aldrich International Gmbh,Industriestrasse 25 Ch 9471 Buchs Sdnf Sdnf Switzerland,29,Frankfurt/Main Int'L,France
Jnpt,Innsa1,9868709,2025-05-04,29419090,Azithromycin Ip/Usp Azithromycin Ip/Usp,USP,670.3,Kg,11723.58,137,Usd,23447164,,6503070.5,0309064830,Sun Rise Enterprises,Agarwal B2B Centre 604 Kanchpada Off Link Rd. Malad West,Mumbai,Brilliant Pharmaceuticals Ltd,"Office F,32/F, Plaza 88 No.88 Yeung Uk Road, Tsuen Wan, Nt, Hong Kong, Cn",29,Shanghai,China
Madras Sea,Inmaa1,2319638,2025-05-28,29419090,Azithromycin Usp/Ip Azithromycin Usp/Ip,USP,671.44,Kg,12096,140,Usd,24192000,,4895251,0788012363,Micro Labs Ltd,No.27 Race Course Road Bangalore,Karnataka,Zhejiang Guobang Pharmaceutical Co Ltd,"No 6, Weiwu Road, Hangzhou Gulf, Shangyu Industrial Zone, Zhejiang, China",29,Shanghai Pt,China
Bangalore,Inblr4,0,2026-02-26,29419090,75199-25Mg-F Azithromycin (For Further Sale) 75199-25Mg-F Azithromycin (For Further Sale),USP,2,Nos,16058.07,16058.07,Inr,32116.14,,8907.4,0703003453,Sigma Aldrich Chemicals Pvt Ltd,"Plot.No.12,Bommasandra-Jigani Link Road,Indl.Area,Anekal Tq,",Bangalore,Sigma Aldrich International Gmbh,"Sigma Aldrich International Gmbhindustriestrasse 25,Ch-9471 Buchs S Witzerland Sdnf Switzerlandswitzerland",29,Frankfurt/Main Int'L,China
Jnpt,Innsa1,9114887,2025-03-26,29419090,Azithromycin - Azithromycin Dihydrate Usp (White Or Almost White Powder)Azithromycin - Azithromycin Dihydrate Usp (White Or Almost W,USP,682.56,Kg,12134.7,139,Usd,4247145,,0,3008006477,Magbro Health Care Pvt Ltd,"Om Shanti Complex,,218, Industrial Area A,","Ludhiana, Punjab",Zhejiang Hengdian Apeloa Import And Export Co Ltd,"13F, T1, Hengdian Center, No. 136 F Uchun Road, Shangcheng District, Ha Ngzhou,China China",29,Shanghai,China
Jnpt,Innsa1,9114887,2025-03-26,29419090,Azithromycin - Azithromycin Dihydrate Usp (White Or Almost White Powder)Azithromycin - Azithromycin Dihydrate Usp (White Or Almost W,USP,699.64,Kg,12134.7,139,Usd,1820205,,0,3008006477,Magbro Health Care Pvt Ltd,"Om Shanti Complex,,218, Industrial Area A,","Ludhiana, Punjab",Zhejiang Hengdian Apeloa Import And Export Co Ltd,"13F, T1, Hengdian Center, No. 136 F Uchun Road, Shangcheng District, Ha Ngzhou,China China",29,Shanghai,China
Bombay,Inbom4,9208699,2025-03-31,29419090,Azithromycin Dihydrate Usp Azithromycin Dihydrate Usp,USP,700,Kg,13880.7,159,Usd,15018917,,0,391156853,Lupin Ltd,"159, C.S.T. Road,,Kalina, Santacruz (E)","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China China",29,Shanghai,China
Bombay,Inbom4,9208699,2025-03-31,29419090,Azithromycin Dihydrate Usp Azithromycin Dihydrate Usp,USP,700,Kg,13880.7,159,Usd,37311320,,0,391156853,Lupin Ltd,"159, C.S.T. Road,,Kalina, Santacruz (E)","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China China",29,Shanghai,China
Bombay,Inbom4,9208699,2025-03-31,29419090,Azithromycin Dihydrate Usp Azithromycin Dihydrate Usp,USP,705.96,Kg,13880.7,159,Usd,5385711.5,,0,391156853,Lupin Ltd,"159, C.S.T. Road,,Kalina, Santacruz (E)","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China China",29,Shanghai,China
Bombay,Inbom4,9208699,2025-03-31,29419090,Azithromycin Dihydrate Usp Azithromycin Dihydrate Usp,USP,712.29,Kg,13880.7,159,Usd,1249263,,0,391156853,Lupin Ltd,"159, C.S.T. Road,,Kalina, Santacruz (E)","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China China",29,Shanghai,China
Bombay,Inbom4,9208699,2025-03-31,29419090,Azithromycin Dihydrate Usp Azithromycin Dihydrate Usp,USP,725,Kg,13880.7,159,Usd,721796.38,,0,391156853,Lupin Ltd,"159, C.S.T. Road,,Kalina, Santacruz (E)","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China China",29,Shanghai,China
Jnpt,Innsa1,8796166,2025-03-10,29419090,Azithromycin Amine. (Not For Medicine Use). Azithromycin Amine. (Not For Medicine Use).,USP,750,Kg,10894.06,124,Usd,27235148,,7553668,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown,Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Ningxia Taiyicin Biotech Co Ltd,"Pacific Road No. 1, Nuanquan Econom Ic Zone, Helan County, Yinchuan, Ni Ngxia, China ., , China China",29,Shanghai,China
Bombay,Inbom4,9018463,2025-03-21,29419090,Azithromycin Amine (Not For Medicinal Use) Azithromycin Amine (Not For Medicinal Use),USP,750,Kg,10965.4,123.5,Usd,6030968,,1672689,389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing,,Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Hong Kong Osiris International Co Ltd,"Room 1003,10/F Tower 1,Lippo Centre 89 Queensway Admiral Ty Hk Sdnf Hong Kong",29,Tianjin,China
Jnpt,Innsa1,8795965,2025-03-10,29419090,Azithromycin Ip/Usp/Ep. Azithromycin Ip/Usp/Ep.,USP,750,Kg,11950.73,136,Usd,23901462,,6629070.5,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown,Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Hebei Guolong Pharmaceutical Co Ltd,"No.9 Xingye Street, Shijiazhuang Ec Onomic And Technological Developmen T Zone, Hebei Province, China ., ., China",29,Shanghai,China
Jnpt,Innsa1,8661395,2025-03-03,29419090,Azithromycin Ip. Azithromycin Ip.,IP,750,Kg,12109.5,138,Usd,36328500,,7351072,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown,Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Brilliant Pharmaceuticals Ltd,"Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China ., ., China China",29,Shanghai,China
Jnpt,Innsa1,8764290,2025-03-07,29419090,Azithromycin Usp Azithromycin Ip/Usp,USP,750,Kg,12537.84,140,Usd,28837032,,0,2288001305,Ind Swift Ltd,"781, Industrial Area,,Phase-Ii,",Chandigarh.,Zhejiang Guobang Pharmaceutical Co Ltd,No.6 Weiwu Road Hangzhou Gulf Shang Yu Ec Hangzhou Gulf Shangyu Economi C And Technological Development Zon China,29,Shanghai,China
Bombay,Inbom4,8894671,2025-03-15,29419090,Azithromycin Usp/Ip Azithromycin Usp/Ip,USP,750,Kg,12555.4,143,Usd,2511080,,508117,895001390,Cadila Pharmaceuticals Ltd,"Cadila Corporate Campus,Sarkhej Dholka Road, Bhat","Ahmedabad, Gujarat",Zhejiang Guobang Pharmaceutical Co Ltd,",Ltdno.6 Weiwu Road, Hangzhou Gulfs Hangyu Economic And Technologicalde Velopment Zone, Zhejiang China",29,Shanghai,China
Bombay,Inbom4,9025351,2025-03-21,29419090,Azithromycin Dihydrate Ip/Usp Azithromycin Dihydrate Ip/Usp,USP,750,Kg,13095,150,Usd,13095000,,2551560.75,388050535,Indoco Remedies Ltd,"Indoco House,166 Cst Rd.Vidyanagri,,Marg,Kalina, Santacruz (E)",Mumbai.Maharashtra,Sinobright Pharmaceutical Indusrtries Ltd,"Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan, Nt, Hongkong, China Hong Kong, , Hong Kong Hong Kong",29,Shanghai,China
Bombay,Inbom4,8929268,2025-03-17,29419090,Azithromycin Dihydrate Usp Azithromycin Dihydrate Usp,USP,750,Kg,13960.2,159,Usd,19544280,,0,391156853,Lupin Ltd,"159, C.S.T. Road,,Kalina, Santacruz (E)","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China China",29,Shanghai,China
Jnpt,Innsa1,8800014,2025-03-10,29419090,Azithromycin Ip /Usp Azithromycin Ip,USP,768.44,Kg,11857.14,135,Usd,47428552,,9597167,395065895,G C Chemie Pharmie Ltd,"5/C Shree Laxmi Industraial Estate,,New Link Road, Andheri (W)","Mumbai, Maharashtra",Hong Kong Xinsheng Medical Technolo,"Gy Co., Limited Room 804, 8Th Floor , Far East Consortium Building, 121 Des Voeux Road Central Hong Kong",29,Shanghai,China
Jnpt,Innsa1,8805708,2025-03-10,29419090,Azithromycin Amine(Not For Medicinal Use) Azithromycin Amine(Not For Medicinal Use),USP,800,Kg,10937.45,124.5,Usd,51938112,,14405036,389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing,,Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Hong Kong Osiris International Co Ltd,"Room 1003,10/F Tower 1,Lippo Centre 89 Queensway Admiral Ty H.K.China Sdnf China",29,Shanghai,China
Jnpt,Innsa1,8691711,2025-03-04,29419090,Azithromycin Ip Azithromycin Ip,IP,800,Kg,12021.75,137,Usd,27048938,,5473352.5,392072823,Sun Pharmaceutical Industries Ltd,"Acme Plaza, Andheri Kurla Road,,Andheri East","Mumbai, Maharashtra.",Sinobright Pharmaceutical Indusrtries Ltd,"Office F, 32/F, Plaza 88 No. 88 Yeu Ng Uk Road, Tsuen Wan, Nt Hong Kong , , Hong Kong China",29,Shanghai,China
Jnpt,Innsa1,8805708,2025-03-10,29419090,Azithromycin Amine(Not For Medicinal Use) Azithromycin Amine(Not For Medicinal Use),USP,801.72,Kg,10937.45,124.5,Usd,2749127.75,,556286,389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing,,Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Hong Kong Osiris International Co Ltd,"Room 1003,10/F Tower 1,Lippo Centre 89 Queensway Admiral Ty H.K.China Sdnf China",29,Shanghai,China
Jnpt,Innsa1,8710888,2025-03-05,29419090,Azithromycin Ip Azithromycin Ip,IP,801.76,Kg,12031.42,137,Usd,18047126,,5005370,388077051,Dilipkumar And Co,"606 6Th Fl Arun Chambers,Tardeo Main Rd","Tardeo Mumbai ,Maharashtra",Brilliant Pharmaceuticals Ltd,"Office F,32/F,Plaza 88 No.88 Yeung Uk Road. Tsuen Wan, Nt,Hong Kong,Ch Ina China",29,Shanghai,China
Jnpt,Innsa1,8760193,2025-03-07,29419090,Azithromycin Amine Azithromycin Amine,USP,816,Kg,11095.52,126.3,Usd,44382088,,12309372,388036591,Mehta Pharmaceutical Industries,"314,Janki Centre,Plot No.29,,Shah Indl Est,Off Veera Desai Rd",Andheri(W) Maharashtra,Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village, Zhongxinhe Town, Qiezihe District, China",29,Shanghai,China
Bombay Air Cargo,Inbom4,0,2025-12-29,29419090,Azithromycin (Ip) Azithromycin (Ip),IP,822.72,Kg,13870,152,Usd,2774000,,561318.88,0388030461,Fdc Ltd,"142-48 S.V.Road, Jogeshwari(W)","Mumbai, Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co.Ltd.No.6, Weiwu Road, Hangzhou Gul Fshangyu Economic & Technologicalde Velopment Zone, Zhejiang Chinachina",29,Shanghai - Pu Dong,China
Madras,Inmaa1,8921220,2025-03-17,29419090,Azithromycin Usp ( Dihydrate ) Azithromycin Usp ( Dihydrate ),USP,828.2,Kg,12335.9,140.5,Usd,9251925,,0,791011739,Bal Pharma Ltd,"5Th Floor,Laxmi Narayan Complex,,10/1 Palace Road,",Bangalore,Hangzhou Dawn Ray Pharmaceutical Co Ltd,"1613 Guangyin Building, No.42 E.Fen Gqi Road, Hangzhou, 310012 Sdnf Cn",29,Shanghai,China
Madras,Inmaa1,8890186,2025-03-14,29419090,Azithromycin Bp/Usp (Azithromycin Ip/Usp) Azithromycin Usp,USP,850,Kg,12292,140,Usd,12292000,,0,488001081,Medopharm,"25, 2Nd Puliyur Main Road,,Trustpuram, Kodambakkam,","Chennai, Tamilnadu",Zhejiang Guobang Pharmaceutical Co Ltd,"No.6, Weiwu Road Hangzhou Gulf, Shangyu Economic & Technological Development Zone,Zhejiang, China",29,Shanghai,China
Bangalore,Inblr4,8836883,2025-03-12,29419090,"Azithromycin Dihydrate Usp(Batch No.A20250113, A20250114)(20Drums)Azithromycin",USP,850,Kg,12555.4,143,Usd,6277700,,0,791011739,Bal Pharma Ltd,"5Th Floor,Laxmi Narayan Complex,,10/1 Palace Road,",Bangalore,Hangzhou Dawn Ray Pharmaceutical Co Ltd,"Co., Ltd 1613, Guangyin Building, No.42 E.Fengqi Road, Hangzhou 3100 2 China China",29,Beijing,China
Madras,Inmaa1,8748641,2025-03-07,29419090,Azithromycin Usp/Ip Azithromycin Usp/Ip,USP,869.45,Kg,12292,140,Usd,24584000,,4974572.5,788012363,Micro Labs Ltd,"No 31, Race Course Road,Bangalore,N/A","Bengaluru,Karnataka",Zhejiang Guobang Pharmaceutical Co Ltd,"No 6, Weiwu Road, Hangzhou Gulf, Shangyu Industrial Zone, Zhejiang, China",29,Shanghai Pt,China
Delhi Ppg,Inppg6,8820088,2025-03-11,29419090,Azithromycin Ip Azithromycin Ip,IP,875,Kg,12292,140,Usd,24584000,,4974572.5,510062059,Del Trade International Pvt Ltd,"Beetal House, 99, Madangir,Behind Local Shopping Centre",New Delhi,Cspc Ouyi Pharmaceutical Co Ltd,"No.88 Yangzi Road Economic And Tech Nological Development Zone Shijiazh Uang Hebei , , China China",29,Shanghai,China
Jnpt,Innsa1,2021535,2025-05-13,29419090,Azithromycin Ip/Usp/Ep Azithromycin Ip/Usp/Ep(Antibiotic),USP,881.93,Kg,11977,140,Usd,2748721.5,,0,2207001415,Theon Pharmaceuticals Ltd,House No. 50 Sector-28-A N/A,Chandigarh.,Hebei Guolong Pharmaceutical Co Ltd,"No-9, Xingye Street, Shijiazhuang E Conomic And Technological Developme Nt Zone,Shijiazhuang,Hebei, Hebei, China",29,Xingang (China),China
Jnpt,Innsa1,2305615,2025-05-27,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,900,Kg,10674.43,124.7,Usd,3942065.5,,1093331.88,0388114533,Mehta Api Pvt Ltd,315-318 Janki Centre Pl No.29 Shah Indl Est. Off Veera D. Rd Andheri-W,"Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,China
Jnpt,Innsa1,2305615,2025-05-27,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,910,Kg,10674.43,124.7,Usd,4063754,,822300.69,0388114533,Mehta Api Pvt Ltd,315-318 Janki Centre Pl No.29 Shah Indl Est. Off Veera D. Rd Andheri-W,"Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,China
Jnpt,Innsa1,3865819,2025-08-13,29419090,Azithromycin Dihydrate Azithromycin Dihydrate,USP,950,Kg,11801.52,133.2,Usd,23603040,,4599052.5,2214005889,Pinnacle Life Science Pvt Ltd,,,Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co.,Ltdpacific Road No.1,Nuanquan Economic Zone,Helan County,Yinchuan,Ningxia China Chinachina",29,Shanghai,China
Madras,Inmaa1,9103384,2025-03-26,29419090,Azithromycin Dihydrate Ip/Usp Azithromycin Dihydrate Ip/Usp,USP,950,Kg,12222,140,Usd,6111000,,1236560.88,988002833,Dr Reddy S Laboratories Ltd,"H.No. 8-2-337,Beside Tv9 Office,Road No.3,Banjara Hills",Hyderabad Andhra Pradesh,Zhejiang Guobang Pharmaceutical Co Ltd,"No.6, Weiwu Road, Hangzhou Gulf, Shan Gyu, Economic And Technologic Al Development Zone Zhejiang, Chin China",29,Shanghai,China
Jnpt,Innsa1,3888115,2025-08-14,29419090,Azithromycin Azithromycin,USP,950,Kg,12404,140,Usd,24808000,,0,0396051049,Medico Remedies Ltd,,,Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co.Ltd.No.6 Weiwu Road, Hangzhou Gulf, Shangyu Industrial Zonezhejiang Sdnf Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-12-27,29419090,Azithromycin Ep/Usp/Ip Azithromycin Ep/Usp/Ip,USP,975,Kg,13475.8,142,Usd,8085480,,0,2296001963,Ind Swift Laboratories Ltd,"Sco.850, Shivalik Enclave, Nac, Manimajra,",Chandigarh.,Zhejiang Guobang Pharmaceutical Co Ltd,Zhejiang Guobang Pharmaceutical Co Ltdno.6 Weiwu Road Hangzhou Gulf Shang Yu Ec Hangzhou Gulf Shangyu Economi C And Technological Development Zon Chinachina,29,Shanghai,China
Jnpt,Innsa1,0,2025-12-26,29419090,Azithromycin Ip/Usp Azithromycin Ip/Usp,USP,980,Kg,12957.5,142,Usd,6478750,,0,0488001081,Medopharm,"25, 2Nd Puliyur Main Road, Trustpuram, Kodambakkam,","Chennai, Tamilnadu",Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co., Ltdno.6,Weiwu Road, Hangzhou Gulf Shangyu Economic And Technological Development Zone,Zhejiang Cnchina",29,Shanghai,China
Bombay,Inbom4,0,2025-11-06,29339990,Azithromycin For Peak Identification Crs-For Testing Purposeonlyazithromycin For Peak Identification Crs-For Testing Purpose,USP,4,Nos,8496.38,79,Eur,33985.5,,6877,0397031441,Bliss Gvs Pharma Ltd,"102,Hyde Park,Sakivihar Road ,Andheri(E)",Mumbai,European Directorate For The Quality Of Medicines,& Healthcare Edqm. Strasbourgallee Kastner 7- - Cs 30026 Strasbourg 67081 Fr,29,Strasbourg,France
Bombay,Inbom4,0,2025-11-06,29339990,Azithromycin For System Suitability Crs-For Testing Purposeonlyazithromycin For Peak Identification Crs-For Testing Purpose,USP,4,Nos,8496.38,79,Eur,33985.5,,6877,0397031441,Bliss Gvs Pharma Ltd,"102,Hyde Park,Sakivihar Road ,Andheri(E)",Mumbai,European Directorate For The Quality Of Medicines,& Healthcare Edqm. Strasbourgallee Kastner 7- - Cs 30026 Strasbourg 67081 Fr,29,Strasbourg,France
